DICOFRE;NUTSI_DSG;NUTSI_COD;NUTSII_DSG;NUTSII_COD;NUTSIII_DSG;NUTSIII_COD;DISTRITO_ILHA_DSG;CONCELHO_DSG;FREGUESIA_DSG;AREA_2018_ha;AREA_2018_km2
010103;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ÁGUEDA;AGUADA DE CIMA;2839,31;28,39
010109;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ÁGUEDA;FERMENTELOS;858,20;8,58
010112;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ÁGUEDA;MACINHATA DO VOUGA;3195,44;31,95
010119;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ÁGUEDA;VALONGO DO VOUGA;4320,11;43,20
010121;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ÁGUEDA;UNIÃO DAS FREGUESIAS DE ÁGUEDA E BORRALHA;3602,93;36,03
010122;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ÁGUEDA;UNIÃO DAS FREGUESIAS DE BARRÔ E AGUADA DE BAIXO;1019,01;10,19
010123;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ÁGUEDA;UNIÃO DAS FREGUESIAS DE BELAZAIMA DO CHÃO, CASTANHEIRA DO VOUGA E AGADÃO;8809,03;88,09
010124;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ÁGUEDA;UNIÃO DAS FREGUESIAS DE RECARDÃES E ESPINHEL;1991,78;19,92
010125;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ÁGUEDA;UNIÃO DAS FREGUESIAS DE TRAVASSÔ E ÓIS DA RIBEIRA;1112,19;11,12
010126;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ÁGUEDA;UNIÃO DAS FREGUESIAS DE TROFA, SEGADÃES E LAMAS DO VOUGA;1606,81;16,07
010127;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ÁGUEDA;UNIÃO DAS FREGUESIAS DO PRÉSTIMO E MACIEIRA DE ALCOBA;4172,64;41,73
010202;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ALBERGARIA-A-VELHA;ALQUERUBIM;1535,86;15,36
010203;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ALBERGARIA-A-VELHA;ANGEJA;2125,17;21,25
010204;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ALBERGARIA-A-VELHA;BRANCA;3028,86;30,29
010206;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ALBERGARIA-A-VELHA;RIBEIRA DE FRÁGUAS;2674,54;26,75
010209;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ALBERGARIA-A-VELHA;ALBERGARIA-A-VELHA E VALMAIOR;4699,64;47,00
010210;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ALBERGARIA-A-VELHA;SÃO JOÃO DE LOURE E FROSSOS;1818,42;18,18
010304;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ANADIA;AVELÃS DE CAMINHO;644,87;6,45
010305;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ANADIA;AVELÃS DE CIMA;4057,80;40,58
010307;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ANADIA;MOITA;3417,61;34,18
010309;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ANADIA;SANGALHOS;1690,42;16,90
010310;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ANADIA;SÃO LOURENÇO DO BAIRRO;1538,31;15,38
010312;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ANADIA;VILA NOVA DE MONSARROS;2372,04;23,72
010313;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ANADIA;VILARINHO DO BAIRRO;2556,33;25,56
010316;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ANADIA;UNIÃO DAS FREGUESIAS DE AMOREIRA DA GÂNDARA, PAREDES DO BAIRRO E ANCAS;2206,42;22,06
010317;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ANADIA;UNIÃO DAS FREGUESIAS DE ARCOS E MOGOFORES;1439,30;14,39
010318;CONTINENTE;1;CENTRO;16;REGIÃO DE AVEIRO;16D;AVEIRO;ANADIA;UNIÃO DAS FREGUESIAS DE TAMENGOS, AGUIM E ÓIS DO BAIRRO;1740,39;17,40
010402;CONTINENTE;1;NORTE;11;ÁREA METROPOLITANA DO PORTO;11A;AVEIRO;AROUCA;ALVARENGA;3876,60;38,77
010407;CONTINENTE;1;NORTE;11;ÁREA METROPOLITANA DO PORTO;11A;AVEIRO;AROUCA;CHAVE;1090,53;10,91
010409;CONTINENTE;1;NORTE;11;ÁREA METROPOLITANA DO PORTO;11A;AVEIRO;AROUCA;ESCARIZ;1798,46;17,98
010411;CONTINENTE;1;NORTE;11;ÁREA METROPOLITANA DO PORTO;11A;AVEIRO;AROUCA;FERMEDO;1110,53;11,11
